dataset,image_id,method,source_path,niqe,mean_luma,over,under,dark_ratio,contrast,sharpness_proxy,noise_proxy
DICM,49.jpg,input_low,/home/user/a1_rlef_project/data/unpaired_real/DICM/49.jpg,5.417034258982145,0.4779374599456787,0.0049791666666666665,5.208333333333333e-06,0.004375,0.19101443886756897,83.99639129638672,0.011562658473849297
DICM,49.jpg,P3c_RLEF_seed3407,/home/user/a1_rlef_project/results/hermes_audit/supplementary_noref/rlef_p3c_unpaired/DICM/49.png,5.591457576357185,0.5530306100845337,7.8125e-06,0.0,0.0008880208333333333,0.16727669537067413,67.47289276123047,0.014310801401734352
DICM,50.jpg,input_low,/home/user/a1_rlef_project/data/unpaired_real/DICM/50.jpg,5.197654154743496,0.46124982833862305,0.029166666666666667,0.0026145833333333333,0.092484375,0.2845214009284973,42.12043380737305,0.006844404619187117
DICM,50.jpg,P3c_RLEF_seed3407,/home/user/a1_rlef_project/results/hermes_audit/supplementary_noref/rlef_p3c_unpaired/DICM/50.png,5.236419433232448,0.4951307475566864,2.6041666666666666e-06,0.0,0.06802604166666666,0.2710190713405609,37.02902603149414,0.006341281346976757
DICM,51.jpg,input_low,/home/user/a1_rlef_project/data/unpaired_real/DICM/51.jpg,4.601788776550336,0.3266749680042267,0.0027057291666666666,0.017700520833333334,0.13855208333333333,0.18156929314136505,101.56575775146484,0.009920488111674786
DICM,51.jpg,P3c_RLEF_seed3407,/home/user/a1_rlef_project/results/hermes_audit/supplementary_noref/rlef_p3c_unpaired/DICM/51.png,4.730672894849153,0.4504147171974182,2.0833333333333333e-05,2.6041666666666666e-06,0.07892447916666667,0.20210644602775574,97.27415466308594,0.010309883393347263
DICM,52.jpg,input_low,/home/user/a1_rlef_project/data/unpaired_real/DICM/52.jpg,5.778817550242309,0.5270522236824036,0.0,0.0,0.009541666666666667,0.23081651329994202,51.2782096862793,0.004833849146962166
DICM,52.jpg,P3c_RLEF_seed3407,/home/user/a1_rlef_project/results/hermes_audit/supplementary_noref/rlef_p3c_unpaired/DICM/52.png,6.005141135688436,0.5506486296653748,0.0,0.0,0.002328125,0.22418181598186493,45.894073486328125,0.004372923169285059
DICM,53.jpg,input_low,/home/user/a1_rlef_project/data/unpaired_real/DICM/53.jpg,5.611521324376095,0.5789937973022461,0.13125260416666668,0.0,5.208333333333333e-06,0.2336483746767044,34.64888000488281,0.0003387816250324249
DICM,53.jpg,P3c_RLEF_seed3407,/home/user/a1_rlef_project/results/hermes_audit/supplementary_noref/rlef_p3c_unpaired/DICM/53.png,5.862765523741297,0.607330322265625,0.003411458333333333,0.0,0.0,0.21108146011829376,29.020381927490234,0.006475170608609915
DICM,54.jpg,input_low,/home/user/a1_rlef_project/data/unpaired_real/DICM/54.jpg,6.38054065920471,0.38440176844596863,0.001109375,0.0,0.006276041666666667,0.1749829351902008,26.352964401245117,0.002821521367877722
DICM,54.jpg,P3c_RLEF_seed3407,/home/user/a1_rlef_project/results/hermes_audit/supplementary_noref/rlef_p3c_unpaired/DICM/54.png,6.443047986988291,0.5231913328170776,0.0,0.0,3.90625e-05,0.15691812336444855,21.590301513671875,0.0010701367864385247
DICM,55.jpg,input_low,/home/user/a1_rlef_project/data/unpaired_real/DICM/55.jpg,5.384234879574445,0.3803498148918152,0.012044270833333334,0.0,0.017778645833333332,0.18992093205451965,75.57088470458984,0.004601636435836554
DICM,55.jpg,P3c_RLEF_seed3407,/home/user/a1_rlef_project/results/hermes_audit/supplementary_noref/rlef_p3c_unpaired/DICM/55.png,5.55724040864307,0.5163394212722778,0.0,0.0,0.0049479166666666664,0.1694795787334442,53.0583381652832,0.00496422965079546
