index,name,perturbation,e_mae,s_mae,gauge_mae,mu_pred,mu_gt,s_corr,stratum,e_mean,e_std,low_mean,q_mean
15,test_00015,mixed_shift_plus_shape,0.4999999999037641,0.20262202260805226,0.4999999999037641,0.570536598905619,0.07053659900185494,-0.006590120144412873,near_identity,0.07053660601377487,0.013402656652033329,0.36450543999671936,1.0
16,test_00016,identity,0.0,0.0,0.0,1.5491272281506099,1.5491272281506099,0.9999999999999998,global_underexposed,1.5491271018981934,0.40576303005218506,0.08457336574792862,1.0
16,test_00016,global_shift_plus_0p5,0.49999999978354026,1.9567863773772842e-08,0.49999999978354026,2.04912722793415,1.5491272281506099,0.9999999999999931,global_underexposed,1.5491271018981934,0.40576303005218506,0.08457336574792862,1.0
16,test_00016,global_shift_minus_0p5,0.5,0.0,0.5,1.0491272281506099,1.5491272281506099,0.9999999999999998,global_underexposed,1.5491271018981934,0.40576303005218506,0.08457336574792862,1.0
16,test_00016,local_shape_distortion,0.2026220225952784,0.20262202259953915,2.737579052336514e-10,1.5491272284243678,1.5491272281506099,0.8447557134794735,global_underexposed,1.5491271018981934,0.40576303005218506,0.08457336574792862,1.0
16,test_00016,mixed_shift_plus_shape,0.4999999999654392,0.20262202303138094,0.4999999999654392,2.049127228116049,1.5491272281506099,0.8447557123509911,global_underexposed,1.5491271018981934,0.40576303005218506,0.08457336574792862,1.0
17,test_00017,identity,0.0,0.0,0.0,0.9928179335142886,0.9928179335142886,0.9999999999999998,global_underexposed,0.9928179383277893,0.3937951624393463,0.2369311898946762,1.0
17,test_00017,global_shift_plus_0p5,0.5000000000550244,1.60734785342731e-08,0.5000000000550244,1.492817933569313,0.9928179335142886,0.9999999999999961,global_underexposed,0.9928179383277893,0.3937951624393463,0.2369311898946762,1.0
17,test_00017,global_shift_minus_0p5,0.5000000000004547,3.455974395549788e-11,0.5000000000004547,0.49281793351383385,0.9928179335142886,0.9999999999999997,global_underexposed,0.9928179383277893,0.3937951624393463,0.2369311898946762,1.0
17,test_00017,local_shape_distortion,0.20262202261142193,0.2026220226116095,1.2050804798491299e-11,0.9928179335263394,0.9928179335142886,0.8546400761035884,global_underexposed,0.9928179383277893,0.3937951624393463,0.2369311898946762,1.0
17,test_00017,mixed_shift_plus_shape,0.5000000001286935,0.20262202321121306,0.5000000001286935,1.492817933642982,0.9928179335142886,0.8546400759745216,global_underexposed,0.9928179383277893,0.3937951624393463,0.2369311898946762,1.0
18,test_00018,identity,0.0,0.0,0.0,1.6609046904659408,1.6609046904659408,0.9999999999999998,global_underexposed,1.6609046459197998,0.28596851229667664,0.11012166738510132,1.0
18,test_00018,global_shift_plus_0p5,0.5000000001155058,3.0096894698683485e-08,0.5000000001155058,2.1609046905814466,1.6609046904659408,0.9999999999999781,global_underexposed,1.6609046459197998,0.28596851229667664,0.11012166738510132,1.0
18,test_00018,global_shift_minus_0p5,0.5,0.0,0.5,1.1609046904659408,1.6609046904659408,0.9999999999999998,global_underexposed,1.6609046459197998,0.28596851229667664,0.11012166738510132,1.0
18,test_00018,local_shape_distortion,0.20262202264984808,0.20262202265283485,1.9190338207408786e-10,1.6609046906578442,1.6609046904659408,0.7590625572337745,global_underexposed,1.6609046459197998,0.28596851229667664,0.11012166738510132,1.0
18,test_00018,mixed_shift_plus_shape,0.5000000002810339,0.2026220233790297,0.5000000002810339,2.1609046907469747,1.6609046904659408,0.7590625560204571,global_underexposed,1.6609046459197998,0.28596851229667664,0.11012166738510132,1.0
19,test_00019,identity,0.0,0.0,0.0,1.4923921551107924,1.4923921551107924,0.9999999999999998,global_underexposed,1.4923920631408691,0.23496362566947937,0.09116486459970474,1.0
19,test_00019,global_shift_plus_0p5,0.49999999997089617,2.5386849955566504e-08,0.49999999997089617,1.9923921550816885,1.4923921551107924,0.9999999999999725,global_underexposed,1.4923920631408691,0.23496362566947937,0.09116486459970474,1.0
19,test_00019,global_shift_minus_0p5,0.5,0.0,0.5,0.9923921551107924,1.4923921551107924,0.9999999999999998,global_underexposed,1.4923920631408691,0.23496362566947937,0.09116486459970474,1.0
19,test_00019,local_shape_distortion,0.2026220229572573,0.20262202295916826,1.227817847393453e-10,1.4923921552335742,1.4923921551107924,0.6937505905955734,global_underexposed,1.4923920631408691,0.23496362566947937,0.09116486459970474,1.0
19,test_00019,mixed_shift_plus_shape,0.5000000003547029,0.20262202339182145,0.5000000003547029,1.9923921554654953,1.4923921551107924,0.6937505882134006,global_underexposed,1.4923920631408691,0.23496362566947937,0.09116486459970474,1.0
20,test_00020,identity,0.0,0.0,0.0,0.12378667910422791,0.12378667910422791,0.9999999999999205,near_identity,0.12378667294979095,0.013854601420462132,0.37564817070961,1.0
20,test_00020,global_shift_plus_0p5,0.49999999998829026,1.4936128646392266e-08,0.49999999998829026,0.6237866790925182,0.12378667910422791,0.9999999999990911,near_identity,0.12378667294979095,0.013854601420462132,0.37564817070961,1.0
20,test_00020,global_shift_minus_0p5,0.4999999999939746,7.494029376220457e-09,0.4999999999939746,-0.3762133208897467,0.12378667910422791,0.9999999999996687,near_identity,0.12378667294979095,0.013854601420462132,0.37564817070961,1.0
20,test_00020,local_shape_distortion,0.20262202248056838,0.2026220224805949,1.7053025658242404e-12,0.12378667910593322,0.12378667910422791,-0.033120237738974774,near_identity,0.12378667294979095,0.013854601420462132,0.37564817070961,1.0
